Depth (m),Isobath Area (m2),Radius (m),Volume (m3),(1/A)dA/dz (m-1),Interpolated ()
0,582210000,13613,89051592498,,false
1,577034990,13553,88471971928,0.0087,true
2,572175570,13496,87897368360,0.0082,true
3,567618560,13442,87327472813,0.0078,true
4,563350790,13391,86761989480,0.0073,true
5,559359080,13344,86200635728,0.0069,true
6,555630240,13299,85643142107,0.0065,true
7,552151120,13257,85089252338,0.0061,true
8,548908530,13218,84538723309,0.0057,true
9,545889300,13182,83991325088,0.0053,true
10,543080250,13148,83446840916,0.005,true
11,540468210,13116,82905067211,0.0047,true
12,538040000,13087,82365813562,0.0044,false
13,535782440,13059,81828902737,0.0041,true
14,533682370,13034,81294170676,0.0038,true
15,531726600,13010,80761466490,0.0036,true
16,529901950,12987,80230652476,0.0033,true
17,528195270,12966,79701604096,0.0031,true
18,526593350,12947,79174209989,0.003,true
19,525083050,12928,78648371969,0.0028,true
20,523651160,12911,78124005027,0.0027,true
21,522284530,12894,77601037331,0.0026,true
22,520969980,12877,77079410214,0.0025,true
23,519694330,12862,76559078189,0.0024,true
24,518444400,12846,76040008950,0.0024,true
25,517207020,12831,75522183363,0.0024,true
26,515969010,12816,75005595472,0.0024,true
27,514717200,12800,74490252493,0.0025,true
28,513438420,12784,73976174816,0.0025,true
29,512119480,12768,73463396007,0.0026,true
30,510747220,12751,72951962811,0.0028,true
31,509308450,12733,72441935145,0.0029,true
32,507790000,12714,71933386109,0.0031,false
33,506181140,12693,71426400751,0.0033,true
34,504480930,12672,70921069955,0.0035,true
35,502690850,12650,70417484330,0.0036,true
36,500812400,12626,69915732998,0.0038,true
37,498847080,12601,69415903580,0.004,true
38,496796390,12575,68918082197,0.0042,true
39,494661820,12548,68422353475,0.0044,true
40,492444860,12520,67928800550,0.0046,true
41,490147020,12491,67437505058,0.0048,true
42,487769780,12460,66948547139,0.005,true
43,485314650,12429,66462005440,0.0051,true
44,482783120,12397,65977957107,0.0053,true
45,480176690,12363,65496477790,0.0055,true
46,477496850,12329,65017641645,0.0057,true
47,474745090,12293,64541521337,0.0059,true
48,471922920,12256,64068188034,0.0061,true
49,469031830,12219,63597711399,0.0062,true
50,466073320,12180,63130159604,0.0064,true
51,463048880,12141,62665599324,0.0066,true
52,459960000,12100,62204095746,0.0068,false
53,456809590,12058,61745711853,0.007,true
54,453606140,12016,61290504927,0.0071,true
55,450359550,11973,60838523054,0.0072,true
56,447079730,11929,60389804413,0.0074,true
57,443776560,11885,59944377288,0.0075,true
58,440459960,11841,59502260065,0.0075,true
59,437139810,11796,59063461227,0.0076,true
60,433826030,11751,58627979357,0.0076,true
61,430528500,11706,58195803141,0.0076,true
62,427257130,11662,57766911365,0.0076,true
63,424021820,11618,57341272915,0.0076,true
64,420832470,11574,56918846773,0.0075,true
65,417698970,11531,56499582029,0.0074,true
66,414631230,11488,56083417871,0.0073,true
67,411639140,11447,55670283589,0.0072,true
68,408732600,11406,55260098578,0.007,true
69,405921520,11367,54852772326,0.0068,true
70,403215800,11329,54448204420,0.0066,true
71,400625320,11293,54046284556,0.0063,true
72,398160000,11258,53646892530,0.006,false
