Date;Time (UTC);ID;Type;Parameters;Comments;Operator;
17.06.2020;09:30:00;1;Installation;"Winch;N/A;Buoy Profiler 601;N/A";Installation Idronaut + winch ;Fabio Dos Santos Correia;20150520_trilux_SN053.pdf, Certificate_of_Calibration_715681_20200127.pdf
29.06.2020;00:00:00;2;Installation;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Idronaut first measurement;Fabio Dos Santos Correia;
07.07.2020;02:00:00;3;Issue;"Winch;N/A;Buoy Profiler 601;N/A";Data not coming, cable issue, power issue;Fabio Dos Santos Correia;
19.01.2021;12:00:00;3;Repair;"Winch;N/A;Buoy Profiler 601;N/A";Everything in order;Sébastien Lavanchy;
22.08.2021;15:10:00;4;Issue;"Winch;N/A;Buoy Profiler 601;N/A";Cable broken, CTD at the bottom of the lake;Sébastien Lavanchy;
14.09.2021;09:30:00;4;Recovery/removal;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";recovery of the Idronaut at the bottom of the lake with the ROV;Guillaume Cunillera;
10.01.2022;12:00:00;4;Calibration Factory;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";No trilux calibration;Roxane Fillion;Certificate_of_Calibration_715681_20220110.pdf
22.02.2022;13:30:00;4;Repair;"Winch;N/A;Buoy Profiler 601;N/A";Test Winch, com, and how to install the cable.Idronaut test tomorrow;Sébastien Lavanchy;
01.03.2022;09:30:00;4;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Reinstall Idronaut, ok / install thetis weight and redeploy it.;Sébastien Lavanchy;
19.03.2022;09:20:00;5;Issue;"Winch;N/A;Buoy Profiler 601;N/A";Power issue;Sébastien Lavanchy;
25.03.2022;10:30:00;5;Repair;"Winch;N/A;Buoy Profiler 601;N/A";battery charge  limit, go to 1 profile every two hours;Sébastien Lavanchy;
05.04.2022;09:40:00;6;Issue;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;053(CTD715681)";Trilux measurement is drifting;Guillaume Cunillera;
12.05.2022;00:00:00;6;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Cleaning;Sébastien Lavanchy;
12.05.2022;13:00:00;6;Repair;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;053(CTD715681)";Trilux idronaut test and repair (biofilm on the glass);Sébastien Lavanchy;
06.06.2022;16:00:00;7;Issue;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Idronaut bad setting, issue programation;Fabio Dos Santos Correia;
16.06.2022;22:00:00;8;Issue;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;053(CTD715681)";Idronaut stuck in the moonpool, Trilux broken;Sébastien Lavanchy;
20.06.2022;22:00:00;8;Out of order;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;053(CTD715681)";Trilux full of water, hole in enclosure, electronic dead;Sébastien Lavanchy;
21.06.2022;11:15:00;7;Repair;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Idronaut support troubleshooting,  ok;Sébastien Lavanchy;
01.07.2022;10:10:00;9;Issue;"Winch;N/A;Buoy Profiler 601;N/A";Intermitent cable communication issue;Sébastien Lavanchy;
14.07.2022;09:00:00;10;Issue;"ph glass;ph;bulkhead version;1221868(CTD715681)";PH start to drift;Sébastien Lavanchy;
18.07.2022;12:00:00;11;Calibration Factory;"Fluorometer;Chlorophyll;Turner C-Fluor;21201237(CTD1122783)";;Guillaume Cunillera;
03.08.2022;10:00:00;8;Installation;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;21-2930-004(CTD715681)";Install new Trilux on Idronaut, with light cover;Sébastien Lavanchy;20220718_trilux_SN21-2930-004.pdf
03.08.2022;14:00:00;8;Repair;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;21-2930-004(CTD715681)";New trilux working and measuring;Sébastien Lavanchy;
18.08.2022;10:00:00;9;Repair;"Winch;N/A;Buoy Profiler 601;N/A";repair cable;Guillaume Cunillera;
25.08.2022;12:10:00;12;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Cleaning;Sébastien Lavanchy;
21.09.2022;12:30:00;13;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Cleaning;Floreana Miesen;
31.10.2022;13:30:00;14;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Cleaning;Philippe Quetin;
03.11.2022;11:00:00;15;Out of order;"ph glass;ph;bulkhead version;1221868(CTD715681)";cannot calibrate the sensor, too old;Sébastien Lavanchy;
03.11.2022;11:00:00;15;Out of order;"ph reference;ph;reference sensor;1121863(CTD715681)";Goes with Ph sensor;Sébastien Lavanchy;
09.11.2022;12:00:00;16;Calibration Factory;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;21-2930-005(CTD1122783)";;Guillaume Cunillera;
24.11.2022;12:00:00;17;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";cleaning;Roxane Fillion;
24.11.2022;12:00:00;18;Issue;"Do;Do;optical sensor;22/11052(CTD715681)";cap broken, no measures;Roxane Fillion;
